,coils EUR/ton
21/11/2018,745.0
22/11/2018,745.0
23/11/2018,745.0
24/11/2018,745.0
25/11/2018,745.0
26/11/2018,745.0
27/11/2018,745.0
28/11/2018,745.0
29/11/2018,745.0
30/11/2018,745.0
31/11/2018,745.0
01/12/2018,731.0
02/12/2018,731.0
03/12/2018,731.0
04/12/2018,731.0
05/12/2018,731.0
06/12/2018,731.0
07/12/2018,731.0
08/12/2018,731.0
09/12/2018,731.0
10/12/2018,731.0
11/12/2018,731.0
12/12/2018,731.0
13/12/2018,731.0
14/12/2018,731.0
15/12/2018,731.0
16/12/2018,731.0
17/12/2018,731.0
18/12/2018,731.0
19/12/2018,731.0
20/12/2018,731.0
21/12/2018,731.0
22/12/2018,731.0
23/12/2018,731.0
24/12/2018,731.0
25/12/2018,731.0
26/12/2018,731.0
27/12/2018,731.0
28/12/2018,731.0
29/12/2018,731.0
30/12/2018,731.0
31/12/2018,731.0
01/01/2019,712.0
02/01/2019,712.0
03/01/2019,712.0
04/01/2019,712.0
05/01/2019,712.0
06/01/2019,712.0
07/01/2019,712.0
08/01/2019,712.0
09/01/2019,712.0
10/01/2019,712.0
11/01/2019,712.0
12/01/2019,712.0
13/01/2019,712.0
14/01/2019,712.0
15/01/2019,712.0
16/01/2019,712.0
17/01/2019,712.0
18/01/2019,712.0
19/01/2019,712.0
20/01/2019,712.0
21/01/2019,712.0
22/01/2019,712.0
23/01/2019,712.0
24/01/2019,712.0
25/01/2019,712.0
26/01/2019,712.0
27/01/2019,712.0
28/01/2019,712.0
29/01/2019,712.0
30/01/2019,712.0
31/01/2019,712.0
01/02/2019,698.0
02/02/2019,698.0
03/02/2019,698.0
04/02/2019,698.0
05/02/2019,698.0
06/02/2019,698.0
07/02/2019,698.0
08/02/2019,698.0
09/02/2019,698.0
10/02/2019,698.0
11/02/2019,698.0
12/02/2019,698.0
13/02/2019,698.0
14/02/2019,698.0
15/02/2019,698.0
16/02/2019,698.0
17/02/2019,698.0
18/02/2019,698.0
19/02/2019,698.0
20/02/2019,698.0
21/02/2019,698.0
22/02/2019,698.0
23/02/2019,698.0
24/02/2019,698.0
25/02/2019,698.0
26/02/2019,698.0
27/02/2019,698.0
28/02/2019,698.0
29/02/2019,698.0
30/02/2019,698.0
31/02/2019,698.0
01/03/2019,701.0
02/03/2019,701.0
03/03/2019,701.0
04/03/2019,701.0
05/03/2019,701.0
06/03/2019,701.0
07/03/2019,701.0
08/03/2019,701.0
09/03/2019,701.0
10/03/2019,701.0
11/03/2019,701.0
12/03/2019,701.0
13/03/2019,701.0
14/03/2019,701.0
15/03/2019,701.0
16/03/2019,701.0
17/03/2019,701.0
18/03/2019,701.0
19/03/2019,701.0
20/03/2019,701.0
21/03/2019,701.0
22/03/2019,701.0
23/03/2019,701.0
24/03/2019,701.0
25/03/2019,701.0
26/03/2019,701.0
27/03/2019,701.0
28/03/2019,701.0
29/03/2019,701.0
30/03/2019,701.0
31/03/2019,701.0
01/04/2019,699.0
02/04/2019,699.0
03/04/2019,699.0
04/04/2019,699.0
05/04/2019,699.0
06/04/2019,699.0
07/04/2019,699.0
08/04/2019,699.0
09/04/2019,699.0
10/04/2019,699.0
11/04/2019,699.0
12/04/2019,699.0
13/04/2019,699.0
14/04/2019,699.0
15/04/2019,699.0
16/04/2019,699.0
17/04/2019,699.0
18/04/2019,699.0
19/04/2019,699.0
20/04/2019,699.0
