,variable,Date,value
355,beams EUR/ton,2020-08-31,533.13
356,beams EUR/ton,2020-09-30,537.71
357,beams EUR/ton,2020-10-31,543.12
358,beams EUR/ton,2020-11-30,541.53
359,beams EUR/ton,2020-12-31,556.67
360,beams EUR/ton,2021-01-31,792.21
361,beams EUR/ton,2021-02-28,780.75
362,beams EUR/ton,2021-03-31,750.62
363,beams EUR/ton,2021-04-30,768.29
364,beams EUR/ton,2021-05-31,807.91
365,beams EUR/ton,2021-06-30,873.83
366,beams EUR/ton,2021-07-31,981.5
367,beams EUR/ton,2021-08-31,980.29
368,beams EUR/ton,2021-09-30,989.81
369,beams EUR/ton,2021-10-31,933.69
370,beams EUR/ton,2021-11-30,931.87
371,beams EUR/ton,2021-12-31,933.07
372,beams EUR/ton,2022-01-31,1067.64
373,beams EUR/ton,2022-02-28,1070.91
374,beams EUR/ton,2022-03-31,1250.0
375,beams EUR/ton,2022-04-30,1419.82
376,beams EUR/ton,2022-05-31,1417.23
377,beams EUR/ton,2022-06-30,1348.82
378,beams EUR/ton,2022-07-31,1293.67
379,beams EUR/ton,2022-08-31,1211.5
380,beams EUR/ton,2022-09-30,1280.0
381,beams EUR/ton,2022-10-31,1117.33
382,beams EUR/ton,2022-11-30,1452.5
383,beams EUR/ton,2022-12-31,1452.5
384,coils EUR/ton,2015-01-31,720.0
385,coils EUR/ton,2015-02-28,720.0
386,coils EUR/ton,2015-03-31,720.0
387,coils EUR/ton,2015-04-30,720.0
388,coils EUR/ton,2015-05-31,720.0
389,coils EUR/ton,2015-06-30,720.0
390,coils EUR/ton,2015-07-31,720.0
391,coils EUR/ton,2015-08-31,720.0
392,coils EUR/ton,2015-09-30,720.0
393,coils EUR/ton,2015-10-31,720.0
394,coils EUR/ton,2015-11-30,720.0
395,coils EUR/ton,2015-12-31,720.0
396,coils EUR/ton,2016-01-31,720.0
397,coils EUR/ton,2016-02-29,720.0
398,coils EUR/ton,2016-03-31,720.0
399,coils EUR/ton,2016-04-30,720.0
400,coils EUR/ton,2016-05-31,720.0
401,coils EUR/ton,2016-06-30,720.0
402,coils EUR/ton,2016-07-31,720.0
403,coils EUR/ton,2016-08-31,720.0
404,coils EUR/ton,2016-09-30,720.0
405,coils EUR/ton,2016-10-31,720.0
406,coils EUR/ton,2016-11-30,720.0
407,coils EUR/ton,2016-12-31,720.0
408,coils EUR/ton,2017-01-31,720.0
