,Date,variable,value
362,14/06/2016,aluminium (EUR),1413.32
363,13/06/2016,aluminium (EUR),1409.315
364,10/06/2016,aluminium (EUR),1428.45
365,09/06/2016,aluminium (EUR),1412.4
366,08/06/2016,aluminium (EUR),1412.4
367,07/06/2016,aluminium (EUR),1410.64
368,06/06/2016,aluminium (EUR),1419.44
369,03/06/2016,aluminium (EUR),
370,02/06/2016,aluminium (EUR),1452.15
371,01/06/2016,aluminium (EUR),1436.2375
372,27/05/2016,aluminium (EUR),1450.575
373,26/05/2016,aluminium (EUR),1434.4575
374,25/05/2016,aluminium (EUR),1450.8
375,24/05/2016,aluminium (EUR),1446.525
376,23/05/2016,aluminium (EUR),1426.225
377,20/05/2016,aluminium (EUR),1426.67
378,19/05/2016,aluminium (EUR),1426.67
379,18/05/2016,aluminium (EUR),1426.67
380,17/05/2016,aluminium (EUR),1410.64
381,16/05/2016,aluminium (EUR),1410.64
382,13/05/2016,aluminium (EUR),1420.32
383,12/05/2016,aluminium (EUR),1420.32
384,11/05/2016,aluminium (EUR),1415.92
385,10/05/2016,aluminium (EUR),1407.78
386,09/05/2016,aluminium (EUR),1342.0
387,06/05/2016,aluminium (EUR),1430.88
388,05/05/2016,aluminium (EUR),1430.88
389,04/05/2016,aluminium (EUR),1414.62
390,03/05/2016,aluminium (EUR),1414.62
391,29/04/2016,aluminium (EUR),
392,28/04/2016,aluminium (EUR),1437.48
393,27/04/2016,aluminium (EUR),1437.48
394,26/04/2016,aluminium (EUR),1437.48
395,25/04/2016,aluminium (EUR),1454.26
396,21/04/2016,aluminium (EUR),1454.705
397,20/04/2016,aluminium (EUR),1459.155
398,19/04/2016,aluminium (EUR),1420.98
399,18/04/2016,aluminium (EUR),1412.4
400,15/04/2016,aluminium (EUR),1446.695
401,14/04/2016,aluminium (EUR),1446.695
402,13/04/2016,aluminium (EUR),1446.695
403,12/04/2016,aluminium (EUR),1430.44
404,11/04/2016,aluminium (EUR),1430.44
405,08/04/2016,aluminium (EUR),1430.44
406,07/04/2016,aluminium (EUR),1430.88
407,06/04/2016,aluminium (EUR),1430.88
408,05/04/2016,aluminium (EUR),1444.52
409,04/04/2016,aluminium (EUR),1457.72
410,01/04/2016,aluminium (EUR),1458.6
411,31/03/2016,aluminium (EUR),1446.72
412,30/03/2016,aluminium (EUR),1446.72
